Name,Category,Type,XAxis,YAxis,
1477 1 new discussion and 13 comments on PwC India Alumni.txt, class_11, JUNK, -44.0429740782, 9.19202630945,
1724 5 discussions on LinkedIn.txt, class_0, JUNK, 2.08900185619, 28.4609149434,
983 utf8QAnjishnu2C20How20to20get20hired20as20a20Product20Manager.txt, class_3, JUNK, -8.43295154686, 15.8862559675,
1639 Re networkplanner New variable aliases are not being overridden
 97.txt, class_7, JUNK, 2.56589349973, -21.9189284126,
2051 4 comments on LinkedIn.txt, class_0, JUNK, 0.378828427144, 27.8688286378,
1986 Faking News retweeted a photo from Ajayendar Shahzada on Twitter.txt, class_5, JUNK, 22.8469963187, 3.20834498221,
1292 In the Public Eye  Sports Viz Month March 2014.txt, class_6, JUNK, -20.4396359429, 15.4272141508,
352 AI PositionOregon.txt, class_13, JUNK, 19.5419382578, -5.68727341526,
2243 Car in garage Let your Car Insurance pay for your travel expenses.txt, class_7, JUNK, -6.3648339237, -12.1235960637,
528 One Way BONANZA Fly from 5410.txt, class_2, JUNK, 4.55268903945, -39.7783520157,
2415 Re Twitter Sentiment Analysis Manually Classify Tweets CLF 
 Group 1  200 Tweets.txt, class_10, JUNK, 32.5156427302, -9.92326982914,
949 Re.txt, class_8, JUNK, -6.46484395852, 23.8641539858,
1297 CAT 2014 Test series combo with amazing discounts.txt, class_9, JUNK, -26.8622266608, -2.77107166866,
769 Receipt from Momogoose.txt, class_4, JUNK, -8.26878447754, 9.97772710278,
1451 Citibank India Website Redesigned  Coming Soon.txt, class_6, JUNK, -22.1927440754, 12.699917119,
849 Lekha Kumar is inviting you to join her video call.txt, class_8, JUNK, -8.82300843338, 20.7873012326,
2577 Quick Survey.txt, class_3, JUNK, -16.0128891111, -1.07059900747,
720 Anjishnu please add me to your LinkedIn network.txt, class_13, JUNK, 20.5261996304, -2.18710024712,
2506 Re Twitter Sentiment Analysis Verify classified Tweets GOOG 
 Group 5  176 Tweets.txt, class_10, JUNK, 30.6747703835, -16.1003379823,
978 Shopping apps  spotlight on new movies and soundtracks.txt, class_6, JUNK, -19.0236677704, 13.8888158063,
1183 minhaz palasara added you on Google.txt, class_13, JUNK, 20.0592912215, -9.35386885788,
2420 Re Twitter Sentiment Analysis Manually Classify Tweets HLF 
 Group 3  200 Tweets.txt, class_10, JUNK, 32.6199487057, -10.4545264361,
239 Clarification on Solution.txt, class_0, JUNK, 14.6585177071, 6.962261706,
1163 Extra 20 off Versace Michael Kors Longchamp  more  Free
 shipping.txt, class_3, JUNK, -3.31890775153, 13.6921484964,
2497 Re Twitter Sentiment Analysis Lets discuss how to assign
 sentiment to tweets.txt, class_10, JUNK, 28.1074855982, -17.8553661843,
510 More error messages.txt, class_3, JUNK, 3.75995222515, 18.2341417491,
309 Get the new Angry Birds Stella on Google Play  music movies apps  more.txt, class_6, JUNK, -19.0565808603, 12.352053266,
1901 3 discussions on LinkedIn.txt, class_0, JUNK, 0.939218248961, 31.7491901883,
302 Hurry FLAT 11 off on Bus tickets.txt, class_0, JUNK, -1.33626000444, 24.047704046,
943 Re.txt, class_8, JUNK, -6.30272432323, 23.9277806967,
1648 Re networkplanner MVMax5  StorageDemandPerYear should be an
 explicit and visible variable  99.txt, class_3, JUNK, -9.78371573386, -10.2770637628,
1529 networkplanner I think the facility count curves for edu health
 maybe street lighting  should default to zero to avoid residual connection
 costs working into calcs even if edu and health demand is zeroed out 105.txt, class_10, JUNK, 11.4130320257, -11.9985114376,
1247 Atlantic City  The Poconos  Paris Rome  London  Niagara Falls
  Ireland.txt, class_5, JUNK, 24.9495952709, 15.8953079284,
2245 Anjishnu Kumar find your friends on Twitter.txt, class_10, JUNK, 32.7546772143, -26.2631982814,
1560 Aquarius Capital brings Columbia University Graduate Students in
 Actuarial Science to meet with 26 insurance and reinsurance companies in.txt, class_13, JUNK, 15.719621438, 20.0598975923,
2206 Activity Digest since 621PM for COMS W4705 on Piazza.txt, class_7, JUNK, -9.95137564246, -31.9142218354,
193 Instr Note this week  programming assignment 2.txt, class_12, JUNK, 6.43344429256, -15.3337750917,
1266 PRIYANKA  retweeted a photo from Avindh on Twitter.txt, class_5, JUNK, 6.70704352621, 14.4574934284,
2032 keyword extraction.txt, class_3, JUNK, -8.56637283489, 12.619966403,
1070 What the new Government can do for the Pharma and Biotech sector 
 the PwC India wishlist.txt, class_10, JUNK, 16.5113790678, -8.88464431274,
662 utf8QBuy206pcs20KFC20Hot2020Crispy20Chicken20And20Get206pcs20Free.txt, class_9, JUNK, -25.5629358269, -0.266458070067,
1430 33 discussions and 3 comments on LinkedIn.txt, class_0, JUNK, 2.34475077876, 33.191903035,
587 Looking for a Health Insurance that meets your needs.txt, class_7, JUNK, -9.64136272902, -14.8162634299,
1757 Niagara Falls  The Poconos  Iceland  Los Angeles  Hot Springs
 VA.txt, class_5, JUNK, 26.2680164386, 12.2364483676,
590 utf8QBuy206pc20Hot2020Crispy20and20Get206pc20free20on20Wednesdays2028Valid20on20all20Online20Orders29.txt, class_9, JUNK, -28.6444662643, 7.82643617613,
595 TopTalent  Weekly Premium Jobs Digest.txt, class_10, JUNK, 14.5489219754, -22.055617184,
382 TopTalent  Weekly Premium Jobs Digest.txt, class_10, JUNK, 14.5515868375, -22.0668105585,
321 Priyank Bhatias invitation is waiting for your response.txt, class_0, JUNK, 8.20067789575, 25.1913352837,
2453 Re Twitter Sentiment Analysis Manually Classify Tweets ESF 
 Group 2  200 Tweets.txt, class_10, JUNK, 33.339418613, -11.2987938701,
2302 studenttickets 2013 GT Football Student Season Ticket Reminder.txt, class_7, JUNK, 9.96580659382, -15.1022854556,
1111 Faking News retweeted a link from Idiot 420 on Twitter.txt, class_10, JUNK, 31.1258800826, -12.813544254,
421 No space left on device.txt, class_13, JUNK, 21.77468458, -5.97090882146,
2485 Re Twitter Sentiment Analysis Manually Classify Tweets NFLX 
 Group 5  164 Tweets.txt, class_10, JUNK, 29.6040304317, -10.0302633479,
133 Re playawsutils Handle temporary AWS credentials 6.txt, class_13, JUNK, 16.3008092, -1.5760348766,
2472 Twitter Sentiment Analysis EURUSD classification.txt, class_5, JUNK, 36.953412296, 12.603874057,
1471 UTF8Q69ofglobalfinancialorganisationsdonE28099thaveapr
 UTF8QocessformeasuringreturnsonITprojectsPwCreport.txt, class_11, JUNK, -41.0947453033, 12.8844991818,
716 The Catskills  Long Island Beachfront  Fire Island NY 
 Caribbean Cruise  The Poconos.txt, class_13, JUNK, 24.833811182, 6.06888831798,
1945 Email Add or Update Notice.txt, class_13, JUNK, 23.2906084368, 0.318302346127,
1137 networkplanner Intersect patch 109.txt, class_7, JUNK, 0.717676062419, -7.29923990835,
2354 Activity Digest since 1129PM for COMS W4705 on Piazza.txt, class_7, JUNK, -9.75558161032, -31.5528297034,
24 Anjishnu Kumar Exclusive Deals for Students Today Only.txt, class_0, JUNK, -10.5182869927, 26.9568477287,
658 64 Off Dash Premium Juice Extractor Jarv Bluetooth Earbuds with
 Mic Swami 4000 Golf GPS  More.txt, class_4, JUNK, -2.61242084301, 7.99264577105,
2003 28 discussions on LinkedIn.txt, class_0, JUNK, -0.227739431378, 34.1020117421,
2131 Confirmation of Enrollment in COMS W4771 on Piazza.txt, class_3, JUNK, -5.49111889809, 10.7068565851,
833 Lekha Kumar is inviting you to join her video call.txt, class_8, JUNK, -10.0802122366, 20.9815942323,
2464 Re Twitter Sentiment Analysis Manually Classify Tweets EURUSD 
 Group 3  200 Tweets.txt, class_10, JUNK, 34.2685890176, -12.5954597776,
31 Do you know Kiran Manral        Piyush Goyal and Markandey Katju
 on Twitter.txt, class_5, JUNK, 7.89840110352, 19.8632303888,
1863 Doorbuster Deals with Asus Samsung  More.txt, class_7, JUNK, -12.8525001463, -14.2835330487,
1483 Volunteer to Teach in Kenya.txt, class_10, JUNK, 6.69630745568, -7.46023110597,
2045 Welcome to PayPal  Choose your way to pay.txt, class_6, JUNK, -24.3734224689, 14.3289554056,
2373 Re Twitter Sentiment Analysis Classification of Tweets Opinions.txt, class_10, JUNK, 39.2228881557, -9.88950533646,
1918 Reminder Collegefeed Presents Steve Garrity  Forbes Social Media
   Fri Dec 6 2013 4pm  5pm anjishnukrgmailcom.txt, class_6, JUNK, -17.9934825586, 10.4403118782,
1677 17 discussions on LinkedIn.txt, class_0, JUNK, 0.762807833021, 30.420781551,
154 Re playawsutils Enable use of a proxy server 7.txt, class_10, JUNK, 28.2584657029, 4.17597921691,
902 UTF8QShorttermPsychotherapyE28093A
 UTF8Qchieveyourgoalsbythefall.txt, class_11, JUNK, -41.5842707705, 13.5304712986,
1547 How an illusion of risk among different choices having similar
